ident,name,type,latitude,longitude,country code,airport
DODI,DODDS ISLAND,VFR,-28.2480556,153.5336111,AU,
DLPT,DOLLS POINT,VFR,-33.9947222,151.1480556,AU,
DSN,DONCASTER SHOPPINGTOWN,VFR,-37.7833333,145.125,AU,
DOP,DONNINGTON AIRPARK,VFR,-19.6016667,146.8416667,AU,
DOOM,DOOMBEN RACECOURSE,VFR,-27.4266667,153.07,AU,
DRO,DORRIGO,VFR,-30.3416667,152.7125,AU,
DCIS,DOUBLE CONE ISLAND,VFR,-20.1,148.7166667,AU,
DOU,DOUBLE ISLAND,VFR,-16.725,145.6833333,AU,
DLP,DOUBLE ISLAND PT,VFR,-25.9166667,153.1833333,AU,
DBPT,DOUBLE PT,VFR,-11.8666667,142.9,AU,
DRLD,DREAMWORLD,VFR,-27.865,153.3166667,AU,
DRM,DROMANA,VFR,-38.3333333,144.9666667,AU,
DRP,DROUGHTY PT,VFR,-42.9333333,147.4166667,AU,
DRN,DROUIN,VFR,-38.1333333,145.85,AU,
DCRK,DRY CREEK,VFR,-34.8333333,138.5833333,AU,
DAG,DUARINGA,VFR,-23.7205556,149.6688889,AU,
DUB,DUBLIN,VFR,-34.4541667,138.35,AU,
DLY,DUNALLEY,VFR,-42.8916667,147.8041667,AU,
DGN,DUNGOWAN,VFR,-31.2166667,151.1166667,AU,
DUWN,DUNGOWAN DAM,VFR,-31.4,151.35,AU,
DUA,DURI GAP,VFR,-31.2,150.7,AU,
DMT,DURI MT,VFR,-31.2041667,150.7305556,AU,
DONG,DURONG,VFR,-26.4,151.25,AU,
DTON,DUTTON,VFR,-34.3666667,139.1333333,AU,
EAN,EAGLE HAWK NECK,VFR,-43.0166667,147.9,AU,
EARH,EARL HILL,VFR,-16.8,145.7,AU,
EARV,EARLVILLE,VFR,-16.955,145.7383333,AU,
EAM,EAST ARM,VFR,-12.5166667,130.9333333,AU,
EGT,EAST GRETA,VFR,-32.7375,151.5375,AU,
ETP,EAST PT,VFR,-12.4083333,130.8166667,AU,
EDP,EDDYSTONE PT,VFR,-40.9983333,148.3483333,AU,
EDT,EDMONTON,VFR,-17.025,145.7305556,AU,
ELDO,ELDORADO,VFR,-36.3111111,146.5208333,AU,
ERB,ELIZABETH RIVER BRIDGE,VFR,-12.5430556,130.975,AU,
EMY,EMILY GAP,VFR,-23.7394444,133.9425,AU,
EDOR,ENDEAVOUR REEF,VFR,-15.7833333,145.5666667,AU,
EPPG,EPPING,VFR,-37.6430556,145.025,AU,
